pdbCompoundId,pdbStructureId
GSP,7rsc
0LI,4c8b
0LI,4u0i
0LI,6tu9
0LI,3ik3
0MO,3i8v
13P,1wpq
147,2wgz
173,1sze
1E8,5p9i
1J4,4j53
1KS,4jkv
1LT,4jps
1N1,4qms
1N1,3g5d
1PG,1pin
1PG,6bbe
1PG,2arp
231,5phe
243,2vst
29S,4xi3
2C7,3dd8
2GG,2uwd
2HC,5bnl
2KL,2wi7
2OH,2e2r
2OP,4qo7
2YQ,4pjv
353,3f82
358,1ove
3AT,4lt6
3AT,1k90
3HE,6y0g
3PG,2wzb
3PG,4gwk
3PG,2p9t
3PO,1cul
3QZ,3qz1
3SY,6e8y
458,2b1v
462,2qu3
4BH,2ccs
4BM,7m0x
4DY,2n27
501,1zgv
50U,2zdk
5GP,1ex7
5ID,2c47
5ID,5ax3
5IG,2g1y
5IU,1a6y
5IU,1a31
5IU,1lei
5IU,3bsu
5MC,6xbo
5MC,6tb3
5MU,6mtd
5NS,3cft
5RM,1xm6
5SF,5ew8
62G,5hls
66F,7d5b
685,3emg
68H,7dhi
692,3fud
697,1x76
6D8,5irv
6EA,2f7z
6EU,6bwj
6RL,5kby
6T2,5lby
6T2,6bqp
701,2jh0
740,2r64
789,1zaf
793,3fpm
797,1u3s
7D6,5irq
7X1,2vwu
82A,2ojj
853,1o48
893,2h96
895,2uwl
8BR,5rhn
8BR,1ro9
8PR,3v5w
936,1kbq
94M,4z1g
997,1tft
9CR,5z12
9CR,1fm6
9DB,5nxc
9DG,7nq4
9PL,3t3z
9SC,7voe
9Y6,6agn
A3M,1n1m
A3P,1zrh
A3P,5x2b
A3P,2oq2
A5A,4eqg
ABN,3nzj
AC2,3mjr
ACD,4zga
ACM,2ozu
ACM,2ija
ACP,5jcb
ACP,7db9
ACY,1yrk
ACY,4it4
ACY,5ex3
ACY,3mp8
ACY,7o07
ACY,2hd4
ACY,7voj
ACY,1u4l
ACY,3qcd
ACY,1n5r
ACY,1g8f
ACY,1cay
ACY,1w69
ADE,3a7i
ADE,3bsf
ADE,1cb0
ADN,1q97
ADN,4ima
ADN,2eva
ADN,4pfj
ADN,2kqd
ADN,3o1c
ADN,4k87
ADX,3uie
AG,5f0w
AGS,6xtx
AGS,4jsp
AGS,5c03
AGS,6f0x
AHN,3pb8
AIB,2m5p
AIB,6rjp
AIB,6fj3
AKG,3inm
AKG,6yyu
AKG,3kv6
AKG,4hg3
ALA,5pgm
ALA,7d34
ALQ,1qr3
ALR,1az1
AMP,4gtw
AMP,4gqy
AMP,6x7u
AMP,5l95
AMP,6m79
AMP,2gm3
AMP,6l5m
AMP,6p8q
AMP,1obd
AMP,6pmt
AMP,6mv7
AMP,1xqs
AMP,1ror
AMP,6ofb
AMP,6oqq
AND,1j99
ANN,1o2e
AOM,3uzx
ASC,3tgy
ASN,6gyp
ASN,6ehj
ASP,2bb4
ASP,1apz
ASP,5hdb
ASP,3oek
ASR,1n4f
ATP,2a3z
ATP,6n8t
ATP,6uhc
ATP,5ofb
ATP,7pw7
ATP,3whl
ATP,1gz3
ATP,5i9e
ATP,6yy0
ATP,3a8w
ATP,2b6f
ATP,4usw
ATP,6gfa
ATP,7mq8
ATP,3cjc
ATP,2pav
ATP,3hmn
ATP,6l57
ATP,5u03
ATP,3gni
ATP,1yag
ATP,2q66
ATP,1y8p
ATP,3dwl
ATP,4fg7
ATP,6ech
ATP,7jk5
ATP,2aqx
ATP,5koy
ATP,2kmx
ATP,6jii
ATP,6zce
ATP,2ooy
ATP,4x6r
ATP,6ils
ATP,6zsp
AVF,3cej
AWY,5q1s
AXI,4ag8
AZM,1rj6
AZM,1yda
B1T,5d0r
B21,2xp3
B3N,4rsy
B3P,6atz
B3P,5i8b
B3P,2bzg
B49,6nfy
B65,3lee
BAX,3gcs
BDP,4c4m
BEZ,5ewz
BEZ,5ewu
BEZ,1kif
BEZ,5hwk
BGC,6v7z
BGC,6gdc
BGC,4kqm
BGC,6wlw
BGC,5koe
BGC,3ais
BGC,5fr2
BGC,1q33
BGC,3qt2
BGC,1hkb
BGC,6s0b
BHF,3pm0
BHO,4fl7
BI1,1xws
BI8,2vd5
BI9,6bql
BIA,1h1d
BME,3ew8
BME,1rjd
BME,1exu
BME,6xxh
BME,3dui
BME,6qwv
BME,2bb2
BME,1ksj
BME,1qip
BME,1zuo
BME,1cwr
BME,2cm0
BME,2a0z
BME,1xtk
BME,5yql
BME,1xjb
BME,3pdb
BME,5hgi
BME,1e6b
BME,6lvs
BME,3f92
BNG,4hhr
BNG,4pyp
BO2,5l5f
BPR,2ajd
BRU,1dp7
BTN,6xkb
BU1,3s3e
BU1,4fhl
BVD,2vqs
BZI,4dsu
C3S,5kwy
C3S,5nti
C5P,6apl
C5P,5ebe
CBP,1cxv
CDP,6aui
CDP,2cvu
CDP,5jpt
CE3,5nzy
CHD,3elz
CIR,6bij
CIR,4mcy
CIT,5d77
CIT,7mld
CIT,6hlo
CIT,7cd9
CIT,6x5j
CIT,1b1e
CIT,5z94
CIT,3v85
CIT,5k2o
CIT,3gft
CIT,6nrf
CIT,3bhd
CIT,4knn
CIT,4wgk
CIT,3alp
CIT,3mwd
CIT,5dft
CJD,4w2r
CK3,1pxk
CL9,2zi9
CLR,7ky5
CLR,7oca
CLR,6hij
CLR,6qex
CLR,6iiu
CLR,7f9y
CLR,6v38
CLR,7dw9
CLR,7lgu
CLR,4ib4
CLR,6iyc
CLR,6jxh
CLR,7na7
CLT,5yoq
CM4,1yim
CMO,3ag0
CMO,1m6c
CMO,1jeb
CMP,3u10
CO2,2vva
COA,4psw
COA,6sp0
COA,2cts
COA,5o9u
COA,4c2j
COA,4u9w
CPU,1cr6
CPZ,3ibd
CR3,1o2h
CR4,1p57
CSD,3tks
CSD,3uio
CSD,3uk7
CSD,5h5s
CSD,1gz8
CTA,1tyn
CTP,1udw
CTP,1twg
CTP,6q2p
CTP,4xsv
CTP,7mh0
CYS,4g1p
CYS,4bfe
CYS,7jwn
CYS,4ksz
CZX,6k42
D23,2b53
D3E,3d3e
DAB,3u4w
DAH,3teg
DAL,2iae
DAL,7f9z
DAL,5x3m
DAL,4qls
DAL,5efj
DAO,3rbq
DAO,1v9u
DAO,5hcn
DAO,4doo
DAS,5go7
DAS,6spw
DAS,4gln
DB8,5i9x
DB8,4qmn
DC8,2z4b
DCF,1a4l
DCM,7p9t
DCY,4g35
DCY,6l63
DD1,3bl7
DD2,3bl9
DDS,4x0p
DES,3erd
DEX,4uda
DFW,2brh
DFZ,2brm
DGB,2gvj
DGI,7k96
DGL,7kjn
DGN,4gls
DGP,2fc0
DGP,6yqm
DGT,4bzb
DHT,3l3x
DIF,1dvx
DIF,1pxx
DIO,6tn8
DIO,2w83
DIO,1kmq
DIO,5dn2
DIO,5vsd
DIO,2vqj
DIO,2g49
DKA,1e7e
DKA,1p8j
DLE,4oij
DLE,5j8p
DLY,6s35
DM2,5mra
DMS,1way
DMS,6rn7
DMS,4a5z
DMS,6nwk
DMS,6pjv
DMS,3qpp
DMS,5km8
DMS,2e3o
DMS,4lkp
DMS,5aqh
DMS,5ivj
DMS,4btk
DMS,6etj
DMS,1wbv
DMS,4o0c
DMS,6iup
DMS,6alz
DMS,4u77
DMS,4cv9
DMS,3mxf
DMS,6mk3
DMS,7bht
DMS,3g5t
DMS,5vbc
DMS,5jb8
DOC,7nv0
DOC,2aq4
DOD,7o60
DOD,2zwb
DOL,6zsa
DOL,6zs9
DPN,1dva
DSG,7b3j
DSN,6o4m
DSN,4gln
DTP,2wgh
DTR,6psa
DTT,3wh0
DTT,5z7a
DTT,4n9e
DTU,2h00
DTU,4auw
DTV,3i9t
DTY,7kjn
DXE,5lgq
E04,1zq5
E20,4ey7
ED9,3wgp
EDN,1bkc
EDO,2wpk
EDO,4asc
EDO,1mr3
EDO,6l0v
EDO,6qml
EDO,5w67
EDO,5ix0
EDO,4bhx
EDO,3zni
EDO,4p9t
EDO,5zun
EDO,2y7b
EDO,4pxl
EDO,4ahf
EDO,6bxa
EDO,7kg0
EDO,6b1a
EDO,5jgy
EDO,5dkh
EDO,3ugd
EDO,5c0k
EDO,4y7r
EDO,6xz3
EDO,6v62
EDO,7lm2
EDO,6i7s
EDO,6ml3
EDO,6gnq
EDO,4utn
