pdbCompoundId,inchikey,chemblId,name,linkedTargets,linkedDiseases,pdbStructureId
007,SJWOFBVBNFLWLP-UHFFFAOYSA-N,CHEMBL382127,(1-Phenylcyclopentyl)Methanamine,,,['2bua']
008,OEVYDSSAPNIURZ-AEFFLSMTSA-N,CHEMBL381806,CHEMBL381806,,,['2buc']
010,WVDDGKGOMKODPV-UHFFFAOYSA-N,CHEMBL720,BENZYL ALCOHOL,,,"['2amq', '2hob', '2q6f', '3d23', '3iwm', '4ii8', '5eb5', '5eu8', '5gwy', '5gwz', '5onl', '6hrj', '6jij', '6lu7', '7bi5', '7bqy', '7d3c']"
017,CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CHEMBL1323,DARUNAVIR,,,"['1t3r', '1t7i', '2f80', '2f81', '2f8g', '2hs1', '2hs2', '2idw', '2ien', '2ieo', '3bvb', '3cyw', '3d1z', '3d20', '3ebz', '3ekt', '3em6', '3ggu', '3jvy', '3jw2', '3lzs', '3lzu', '3lzv', '3mws', '3ogp', '3oxw', '3oy4', '3pwm', '3s53', '3s54', '3so9', '3t3c', '3tkw', '3ttp', '3u7s', '3ucb', '4dqb', '4dqc', '4dqe', '4dqf', '4dqh', '4hla', '4ll3', '4njt', '4npt', '4q1w', '4q1x', '4q1y', '4yoa', '5e5j', '5e5k', '5kqy', '5kr1', '5t2z', '6dgx', '6dh0', '6dh3', '6dh6', '6oos', '6oot', '6oou', '6ops', '6opt', '6opu', '6opv', '6opw', '6opx', '6opy', '6opz', '6p9a', '6w6q', '6xd2']"
022,YVPGZQLRPAGKLA-UHFFFAOYSA-N,CHEMBL1738699,N6022,,,['3qj5']
024,RXDVFLTWXCTCEX-UHFFFAOYSA-N,CHEMBL243940,CHEMBL243940,,,['2qbs']
028,IJEGNOYPWRBKAE-UHFFFAOYSA-N,CHEMBL55264,CHEMBL55264,,,['2z50']
032,GPXBXXGIAQBQNI-UHFFFAOYSA-N,CHEMBL1229517,VEMURAFENIB,"Row(rows=['ENSG00000157764'], count=1)","Row(rows=['EFO_0000616', 'EFO_0000365', 'MONDO_0002108', 'EFO_0000756', 'EFO_1000209', 'EFO_0000222', 'EFO_0003060', 'EFO_1001951', 'EFO_0000311', 'EFO_1000489', 'EFO_1001480', 'EFO_1000318', 'EFO_1000956', 'EFO_0002892', 'EFO_0000389', 'MONDO_0002898', 'EFO_0009259', 'EFO_0000326', 'EFO_0000574', 'EFO_0001378', 'HP_0100727', 'MONDO_0024880', 'EFO_0002617'], count=23)","['3og7', '4rzv', '5hes']"
039,UMMYTDJYDSTEMB-UHFFFAOYSA-N,CHEMBL1213083,CHEMBL1213083,,,"['2chw', '2wxf']"
03P,ZYQXEVJIFYIBHZ-UHFFFAOYSA-N,CHEMBL1614725,TAK-285,"Row(rows=['ENSG00000146648', 'ENSG00000141736'], count=2)","Row(rows=['EFO_0000311'], count=1)","['3poz', '3rcd', '3w2o']"
